latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
46.265394,5.426014,building,16C,PA00116373,Q22966702,Maison du 16e siècle,1947-07-21 ,fr:Maison du XVIe siècle (Chavannes-sur-Suran)
45.903705,5.180054,citywalls,15C,PA00116526,,Rempart attenant à un immeuble dit maison Moschard,1921-11-24 ,fr:Maison Moschard
45.90301304,5.17989517,building,15C,PA00116511,Q22966727,,1941-08-07 ,
45.90345231,5.18044023,building,15C,PA00116516,Q3424623,Maison et remparts,1929-10-11 ,
46.360316,6.000202,,,PA00116425,Q3512788,Zone autour de la table d'orientation de Montrond,1936-08-10 ,fr:Table d'orientation de Montrond
45.90372322,5.18000876,citywalls,15C,PA00116527,Q3424623,Rempart attenant à un immeuble,1921-11-24 ,fr:Remparts de Pérouges
45.90274191,5.17916641,citywalls,,PA00116524,Q3424623,Rempart attenant à un immeuble,1921-11-24 ,fr:Remparts de Pérouges
45.7489,5.7255,,,PA00116446,Q3387855,Pierre à bassins,1913-05-03 ,fr:Pierre à bassins de Bagneux
45.90332,5.180323,,15C,PA00116452,Q3579085,Ecurie Schlutz,1929-10-11 ,fr:Écurie Schlutz
45.75,5.7386,,,PA00116447,Q3387856,Pierre à bassins,1913-05-03 ,fr:Pierre à bassins de Rosset
46.20679,5.327232,,10C,PA00116415,Q3125370,Habitat du premier âge féodal (vestiges),1984-02-17 ,fr:Habitat du premier âge féodal de Jasseron
45.903774,5.179847,,15C,PA00116450,,,1929-10-11 ,fr:Écurie Thimon
45.90345231,5.18044023,building,15C,PA00116515,Q3424623,Maisons et remparts qui en dépendent,1921-11-24 ,
45.8098,5.7707,building,14C,PA00116418,Q3278737,Maison Gallet,1933-04-13 ,fr:Maison Gallet
45.90263983,5.18011324,citywalls,15C,PA00116521,Q3424623,Rempart attenant à un immeuble,1921-11-24 ,fr:Remparts de Pérouges
45.90294267,5.18069936,citywalls,15C,PA00116519,Q3424623,Remparts (restes),1929-10-11 ,fr:Remparts de Pérouges
45.90256797,5.17975677,citywalls,,PA00116522,Q3424623,Rempart attenant à un immeuble,1921-11-24 ,fr:Remparts de Pérouges
45.90324798,5.17828389,citywalls,,PA00116525,Q3424623,Rempart attenant à un immeuble,1921-11-24 ,fr:Remparts de Pérouges
45.903223,5.179205,building,,PA00116461,Q3149081,,1921-11-24 ,fr:Immeuble de la rue des Contreforts
