latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
44.232816,3.765725,,,PA00103930,Q3558908,Etablissement gallo-romain avec hypocauste,3,1977-09-26 ,fr:Villa gallo-romaine de Saint-Martin-de-Lansuscle
44.5,3.573056,,C,PA00103833,Q1911789,Monument dit Le Tombeau romain,2,1840 ,fr:Mausolée de Lanuéjols
44.5606,3.5619,wayside_cross,C18,PA00103801,Q3003599,Croix en pierre,3,1926-07-13 ,fr:Croix du Born (1739)
44.474444,3.661667,tower,bell_tower,PA00103947,Q2979487,Clocher de tourmente des Sagnes,3,1992-07-17 ,fr:Clocher de tourmente des Sagnes
44.517518,3.500648,tower,yes,PA00103881,Q3533650,Tour des Pénitents,2,1943-03-19 ,fr:Tour des Pénitents
44.5216,3.9093,,C14,PA00103903,Q3403023,Ancien prieuré,3,1931-06-29 ,fr:Prieuré de Prévenchères
44.3719,3.5845,,,PA00103791,Q3305970,Trois menhirs constituant le groupe dit de la Can d'Issanges,3,1941-06-05 ,fr:Menhirs de la Can d'Issenges
44.547657,3.289075,,C18,PA48000014,Q2970535,Domaine de Saint-Lambert,3,2010-09-22 ,fr:Château de Saint-Lambert
44.51747,3.499824,,C17,PA00103858,Q22954232,ancien couvent des Ursulines,3,1950-04-17 ,
44.374384,3.701271,,C15,PA00103822,Q22954218,Ensemble d'architecture rurale,3,1983-10-03 ,
44.51775,3.501555,building,C18,PA00103864,Q22954243,Hôtel de ville,,,
44.497297,3.444509,archaeological_site,megalith,PA00103786,Q3033996,Dolmen de Chamgefège,2,1889 ,fr:Dolmen de Chamgefège
44.470833,3.851111,castle,C15,PA00103783,Q2971654,Château du Champ,3,1965-04-14 ,fr:Château du Champ
44.2132,3.6797,,C16,PA48000020,Q22979471,Domaine du Mazel,3,2013-08-20 ,
44.3665,3.4112,building,C15,PA00103923,Q22954268,,3,1950-04-17 ,
44.633723,3.675812,,C19,PA00103815,Q3010224,Monument commémoratif de Duguesclin,2,1911-10-25 ,fr:Cénotaphe de Bertrand Du Guesclin
44.568333,3.38,,C14,PA00103823,Q2969047,Domaine de Cougoussac,3,1986-06-19 ,fr:Château de Cougoussac
44.516988,3.499618,building,C17,PA00103869,Q22954252,,3,1946-06-12 ,
44.165556,3.768333,,C12,PA00103884,Q3580242,Ancienne église de Notre-Dame-de-Val-Francesque,2,1929-12-09 ,fr:Église Notre-Dame-de-Valfrancesque
44.855911,3.331186,building,C17,PA00103843,Q22954223,,3,1973-02-21 ,
44.855831,3.330762,building,C17,PA00103841,Q22954219,,3,1973-02-21 ,
44.855928,3.330225,city_gate,C17,PA00103846,Q22954225,Porte de ville,3,1963-12-20 ,
44.363125,3.743441,bridge,C17,PA00103896,Q3397069,Pont de Montvert,3,1950-12-08 ,fr:Pont de Montvert
44.517409,3.499918,building,C18,PA00103871,Q22954255,,3,1946-06-12 ,
44.518951,3.49774,wayside_cross,C16,PA00103859,Q22954234,Croix en pierre,3,1926-07-13 ,
44.50872,3.278754,,C18,PA48000006,Q3581129,Ancienne église de Saint-Bonnet,3,1999-02-05 ,fr:Église Saint-Bonnet des Bories
44.5195,3.4976,,C16,PA00103879,Q22954261,Anciens remparts,3,1979-06-18 ,
44.519773,3.49722,wayside_cross,C16,PA00103861,Q22954239,Croix en pierre,3,1926-07-13 ,
44.80628,3.68478,wayside_cross,C16,PA00103835,Q3003345,Croix en pierre,3,1939-05-06 ,fr:Croix de Laval-Atger
44.311497,3.815539,,,PA00103931,Q3107775,Gisement gallo-romain,3,1980-08-25 ,fr:Gisement gallo-romain de Saint-Maurice-de-Ventalon
44.553166,3.291213,building,C17,PA48000011,Q3145957,Hôtel de Rouvière dit maison Dides,2,2006-10-20 ,fr:Hôtel de Rouvière
44.330629,3.426608,archaeological_site,megalith,PA00103855,Q3034143,Dolmen du Buisson,2,1977-01-14 ,fr:Dolmen du Buisson
44.291787,3.935729,,,PA00103817,Q3562270,Portion de voie romaine,3,1978-12-06 ,fr:Voie romaine de Coudouloux
44.561522,3.305785,,,PA00103937,Q3485445,Site mégalithique du plateau de Poujoulet (également sur commune de Montrodat),3,1990-04-20 ,fr:Site mégalithique du plateau de Poujoulet
44.412,3.387,,,PA00103940,Q3054897,Ensemble mégalithique de l'Aire des Trois-Seigneurs (également sur commune de Sainte-Enimie),3,1990-04-20 ,fr:Ensemble mégalithique de l'Aire des Trois-Seigneurs
44.602805,3.411008,,C16,PA48000008,Q2971252,Domaine de la Grange,3,1999-03-09 ,fr:Château de la Grange (Lozère)
44.462417,3.690679,tower,bell_tower,PA00103943,Q2979485,Clocher de tourmente de Servies,3,1992-09-04 ,fr:Clocher de tourmente de Serviès
44.554527,3.290789,city_gate,C14,PA00103853,Q3399091,Porte de Soubeyran,3,1925-12-23 ,fr:Porte de Soubeyran (Marvejols)
44.4099,3.6314,,,PA00103798,Q3305973,Treize menhirs du groupe dit de la Maisonnette,3,1941-06-05 ,fr:Menhirs de la Maisonnette
44.5666,3.6167,wayside_cross,C17,PA00103889,Q3003369,Croix en pierre,3,1926-07-13 ,fr:Croix de Pelouse
44.433611,3.595556,,C19,PA00103944,Q3054906,Ensemble patrimonial,3,1992-07-17 ,fr:Ensemble patrimonial de Saint-Étienne-du-Valdonnez
44.827413,3.086485,wayside_cross,C14,PA00103928,Q3003525,Croix dans le cimetière,3,1926-07-13 ,fr:Croix de cimetière de Saint-Juéry
44.856167,3.331548,building,C17,PA00103844,Q3278847,Maison Lestang,3,1963-12-20 ,fr:Maison Lestang
44.438298,3.932872,building,C14,PA00125499,Q3280217,Maison dite gothique,3,1993-02-12 ,fr:Maison gothique (Villefort)
44.501085,3.597078,wayside_cross,C16,PA00103830,Q3003414,Croix en pierre,3,1926-08-07 ,fr:Croix de Vitrolles
44.518352,3.497963,building,,PA48000002,Q2845891,Immeuble dit ancienne synagogue,3,1996-05-30 ,fr:Ancienne synagogue de Mende
44.855629,3.332025,citywalls,C15,PA00103848,Q3424641,,3,1963-06-20 ,fr:Remparts du Malzieu-Ville
44.3665,3.4111,building,C15,PA00103920,Q22954267,,3,1950-04-17 ,
44.429164,3.226472,yes,C13,PA00103803,Q2956821,Chapelle Saint-Frézal,3,1984-07-16 ,fr:Chapelle Saint-Frézal de La Canourgue
44.178676,3.431227,,,PA48000013,Q3517690,Temple protestant,3,2008-09-24 ,fr:Temple protestant de Meyrueis
44.45147,3.26037,archaeological_site,megalith,PA00103805,Q3034001,Dolmen de Chardonnet,2,1889 ,fr:Dolmen de Chardonnet
44.517793,3.497797,building,C13,PA00103874,Q22954258,,3,1929-02-06 ,
44.178336,3.428381,building,C16,PA00103883,Q3280085,,3,1973-07-23 ,fr:Maison du Viguier
44.517149,3.499647,,,PA00103876,Q22954260,Niche avec statue et lanterne à huile,3,1945-07-12 ,
44.539414,3.447266,building,,PA00135397,Q22976040,Maison forte de Bahours,3,1995-11-17 ,
44.816389,3.322222,,C11,PA00103906,Q2968093,Ancien château d'Apcher,,,fr:Château d'Apcher
44.393868,3.649006,,,PA00103793,Q22954215,"Vingt-trois menhirs sis au hameau de la Veyssière, autour de la source du ruisseau de Ruas",3,1941-06-05 ,fr:Menhirs de la Veissière
44.818613,3.122756,castle,C16,PA00103821,Q2969255,,3,1961-05-18 ,fr:Château de Fournels
44.517113,3.499644,building,C14,PA00103870,Q22954254,,3,1946-01-21 ,
44.695082,3.343438,,,PA00103827,Q2846093,Cité antique,,,fr:Anderitum (Gaule)
44.450278,3.898333,building,C16,PA00103897,Q2968781,Immeuble dit Château de Castanet,3,1964-11-02 ,fr:Château de Castanet
44.5174,3.4998,,,PA00103875,Q22954259,Niche en pierre et menuiserie,3,1945-07-12 ,
44.19533,3.65414,,C12,PA00103894,Q3581451,Ancienne église Saint-Flour,2,2003-06-13 ,fr:Église Saint-Flour du Pompidou
44.4865,3.7337,building,C17,PA48000003,Q3278932,Maison de notable dite Peytavin,3,1997-03-07 ,fr:Maison Peytavin
44.703238,3.387753,wayside_cross,C16,PA00103936,Q3003399,Croix en pierre,3,1926-07-13 ,fr:Croix de Serverette
44.530374,3.525769,wayside_cross,C17,PA00103860,Q22954236,Croix de Sirvens,3,1926-07-13 ,
44.856029,3.331456,building,C17,PA00103842,Q22954221,,3,1974-09-03 ,
44.341667,3.6975,castle,C13,PA00103895,Q2969360,Château de Grisac,,,fr:Château de Grizac
44.2108,3.6742,,C12,PA48000016,Q22979463,Ancienne église Notre-Dame de Molezon,3,2012-03-26 ,
44.518274,3.499861,,C17,PA48000019,Q22979469,Ancien hôtel dit maison Pons,3,2013-11-22 ,
44.5165,3.4992,building,C17,PA00103873,Q22954257,,3,1946-06-12 ,
44.697152,3.469153,farm,C16,PA00103834,Q3068907,Ferme du hameau de la Chaze,3,1978-12-28 ,fr:Ferme de la Chaze
44.452317,3.19391,bridge,,PA00103787,Q3397061,Pont de Montferrand,3,1935-10-18 ,fr:Pont de Montferrand
44.478132,3.934838,castle,C13,PA00103898,Q2969552,Château de la Garde-Guérin,2,1929-11-30 ,fr:Château de La Garde-Guérin
44.52154,3.976965,yes,C13,PA00103892,Q2957362,Chapelle des Beaumes,3,1987-04-09 ,fr:Chapelle des Beaumes (Pied-de-Borne)
44.245105,3.920875,place_of_worship,C17,PA00103818,Q3517665,Temple,3,1984-09-13 ,fr:Temple du Collet-de-Dèze
44.4326,3.2149,building,C15,PA00103808,Q22954216,,3,1931-03-17 ,
44.48861,3.64972,tower,bell_tower,PA00103945,Q2979483,Clocher de tourmente d'Auriac,3,1992-07-17 ,fr:Clocher de tourmente d'Auriac
44.695665,3.484898,,C16,PA48000010,Q2969012,Domaine du château de Combettes,3,2002-06-25 ,fr:Château de Combettes (Estables)
44.48639,3.66944,tower,bell_tower,PA00103946,Q2979482,Clocher de tourmente d'Oultet,3,1992-07-17 ,fr:Clocher de tourmente d'Oultet
44.551794,3.291757,city_gate,C14,PA00103854,Q3399191,Porte du Thérond,3,1925-12-23 ,fr:Porte du Thérond
44.517592,3.500554,,C17,PA48000018,Q22979467,Ancienne chapelle des Pénitents Blancs,3,2013-11-22 ,
44.334865,3.383752,yes,C12,PA00103917,Q2956575,Chapelle Notre-Dame-de-Cénaret de Saint-Chély-du-Tarn,3,1987-10-20 ,fr:Chapelle Notre-Dame-de-Cénaret de Saint-Chély-du-Tarn
44.517518,3.500186,building,C18,PA00103868,Q22954251,,3,1946-04-05 ,
44.726392,3.854825,,C18,PA00103829,Q3126136,Halles,3,1942-11-03 ,fr:Halles de Langogne
44.309334,3.174807,farm,C17,PA48000001,Q3068939,Ferme du Massegros,3,1996-05-30 ,fr:Ferme du Massegros
44.356111,3.641111,castle,C13,PA00103790,Q2969894,Château du Miral,3,1984-04-17 ,fr:Château de Miral
44.49505,3.72795,,C12,PA00103792,Q2957253,Ancienne église de Saint-Jean-du-Bleymard,2,1979-04-05 ,fr:Chapelle de Saint-Jean-du-Bleymard
44.518576,3.499467,building,C18,PA00103867,Q22954249,,3,1950-04-17 ,
44.40961,3.41092,wayside_cross,C15,PA00103919,Q3003317,Croix en fer forgé,3,1926-07-13 ,fr:Croix de Champerboux
44.293687,3.887926,,C17,PA48000012,Q3296496,Mas du Viala Ponsonnenc,3,2007-01-08 ,fr:Mas du Viala Ponsonnenc
44.8619,3.31844,,C14,PA00103933,Q2957247,Ancienne église,3,1986-02-10 ,fr:Chapelle de Roc-Saint-Pierre
44.51778,3.496997,fountain,yes,PA00103862,Q22954241,Fontaine d'Aigues-Passes,3,1945-10-16 ,
44.774086,3.754132,wayside_cross,C16,PA00103785,Q3003307,Croix,3,1926-08-07 ,fr:Croix de Briges
44.725211,3.855726,,C19,PA00132615,Q3071763,Ancienne filature des Calquières,3,1994-09-30 ,fr:Filature des Calquières
44.495656,3.946704,castle,C11,PA00103899,Q2971817,Château du Roure,2,1975-06-17 ,fr:Château du Roure
44.324167,3.593056,building,C16,PA00103819,Q3279693,Hôtel dit Maison de la Congrégation de la Présentation de Bourg Saint-Andéol,2,1999-01-21 ,fr:Maison de la Congrégation de la Présentation de Bourg Saint-Andéol
44.517931,3.500433,lavoir,C18,PA00103866,Q22954247,Lavoir de la Calquière,3,1980-07-22 ,
44.856091,3.330384,,C15,PA00103845,Q3001763,Ancien couvent des Ursulines,3,1963-02-07 ,fr:Couvent des Ursulines du Malzieu-Ville
44.5209,3.9098,building,C16,PA00103902,Q22954265,,3,1942-07-11 ,
44.410424,3.576817,,,PA00103796,,Menhirs constituant le premier groupe dit de la Fage,3,1941-06-05 ,fr:Menhirs de la Fage
44.551702,3.289888,city_gate,C14,PA00103852,Q3399021,Porte de Chanelles,3,1925-12-23 ,fr:Porte de Chanelles
44.826371,3.08638,wayside_cross,C12,PA00103927,Q3003454,Croix de chemin,2,1910-11-19 ,fr:Croix de chemin de Saint-Juéry
44.406186,3.327731,,C15,PA48000005,Q2969345,Domaine de Grandlac,3,1998-06-17 ,fr:Château de Grandlac
44.518101,3.500197,building,,PA00103865,Q22954245,,3,1985-12-09 ,
44.660719,3.6314,wayside_cross,C18,PA00103784,Q3003291,Croix en fer forgé,3,1926-07-13 ,fr:Croix d'Arzenc-de-Randon
44.568294,3.314583,,,PA00103938,Q22954270,Site mégalithique du plateau de Poujoulet (également sur commune de Marvejols),3,1990-04-20 ,fr:Site mégalithique du plateau de Poujoulet
44.491944,3.561944,castle,C14,PA00103831,Q2971633,Château du Boy,3,1943-12-17 ,fr:Château du Boy
44.656451,3.363962,,C18,PA48000004,Q2969014,Domaine de Combettes,3,1998-06-17 ,fr:Château de Combettes (Ribennes)
44.5183,3.4986,,C16,PA48000017,Q22979466,"Maison, ancien hôtel de Montesquieu",3,2012-05-22 ,
44.8157,3.7201,wayside_cross,C15,PA00103913,Q3003383,Croix en fer forgé,3,1926-07-13 ,fr:Croix de Saint-Bonnet-de-Montauroux
44.4328,3.2155,building,C14,PA00125497,Q22968908,Maisons à pans de bois,3,1993-03-29 ,
44.5615,3.3058,archaeological_site,megalith,PA00103849,Q22954226,Dolmen,2,1889 ,
44.72897,3.838201,,C16,PA00103888,Q2968023,Ancien château abbatial,3,1979-09-27 ,fr:Château abbatial de Naussac
44.551969,3.290349,building,C16,PA00103851,Q22954228,,,,
44.519,3.498722222,,C15,PA00103857,Q22954231,Ancien collège des Doctrinaires,3,1977-11-23 ,
44.412222,3.188611,castle,C14,PA00135398,Q2970580,,2,1995-11-06 ,fr:Château de Saint-Saturnin (Lozère)
44.538451,3.580298,archaeological_site,megalith,PA00103890,Q3034104,Dolmen de la Rouvière,2,1889 ,fr:Dolmen de la Rouvière
44.481944,3.206389,castle,C16,PA00103804,Q2970014,Château de Montjèzieu,3,1971-07-06 ,fr:Château de Montjézieu
44.401449,3.633481,archaeological_site,megalith,PA00103795,Q3305967,Menhir isolé de Colobrières,3,1941-06-05 ,fr:Menhirs de Colobrières
44.51967,3.603615,wayside_cross,C17,PA00103926,Q3003394,Croix en pierre,3,1926-07-13 ,fr:Croix de Sainte-Hélène
44.41408,3.59545,,,PA00103797,Q3305971,"Trois menhirs, du deuxième groupe dit de la Fage, à 500 m du premier du même nom",3,1941-06-05 ,fr:Menhirs de la Fage
44.366944,3.411389,,C12,PA00103916,Q3320334,Ancienne abbaye,2,1932-08-12 ,fr:Monastère de Sainte-Enimie
