latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
44.695665,3.484898,,16C,PA48000010,Q2969012,Domaine du château de Combettes,2002-06-25 ,fr:Château de Combettes (Estables)
44.633723,3.675812,,19C,PA00103815,Q3010224,Monument commémoratif de Duguesclin,1911-10-25 ,fr:Cénotaphe de Bertrand Du Guesclin
44.452317,3.19391,bridge,,PA00103787,Q3397061,Pont de Montferrand,1935-10-18 ,fr:Pont de Montferrand
44.393868,3.649006,,,PA00103793,Q22954215,"Vingt-trois menhirs sis au hameau de la Veyssière, autour de la source du ruisseau de Ruas",1941-06-05 ,fr:Menhirs de la Veissière
44.551969,3.290349,building,16C,PA00103851,Q22954228,,,
44.41408,3.59545,,,PA00103797,Q3305971,"Trois menhirs, du deuxième groupe dit de la Fage, à 500 m du premier du même nom",1941-06-05 ,fr:Menhirs de la Fage
44.5615,3.3058,archaeological_site,megalith,PA00103849,Q22954226,Dolmen,1889 ,
44.813768,3.272477,wayside_cross,15C,PA00103915,Q3003577,Croix en pierre,1926-07-13 ,fr:Croix des Anglais
44.5183,3.4986,,16C,PA48000017,Q22979466,"Maison, ancien hôtel de Montesquieu",2012-05-22 ,
44.433611,3.595556,,19C,PA00103944,Q3054906,Ensemble patrimonial,1992-07-17 ,fr:Ensemble patrimonial de Saint-Étienne-du-Valdonnez
44.5,3.573056,,C,PA00103833,Q1911789,Monument dit Le Tombeau romain,1840 ,fr:Mausolée de Lanuéjols
44.518352,3.497963,building,,PA48000002,Q2845891,Immeuble dit ancienne synagogue,1996-05-30 ,fr:Ancienne synagogue de Mende
44.350556,3.459167,castle,12C,PA00103918,Q2970295,Château de Prades,2009-10-02 ,fr:Château de Prades (Lozère)
44.52154,3.976965,yes,13C,PA00103892,Q2957362,Chapelle des Beaumes,1987-04-09 ,fr:Chapelle des Beaumes (Pied-de-Borne)
44.309334,3.174807,farm,17C,PA48000001,Q3068939,Ferme du Massegros,1996-05-30 ,fr:Ferme du Massegros
44.553166,3.291213,building,17C,PA48000011,Q3145957,Hôtel de Rouvière dit maison Dides,2006-10-20 ,fr:Hôtel de Rouvière
44.3719,3.5845,,,PA00103791,Q3305970,Trois menhirs constituant le groupe dit de la Can d'Issanges,1941-06-05 ,fr:Menhirs de la Can d'Issenges
44.517518,3.500648,tower,yes,PA00103881,Q3533650,Tour des Pénitents,1943-03-19 ,fr:Tour des Pénitents
44.547657,3.289075,,18C,PA48000014,Q2970535,Domaine de Saint-Lambert,2010-09-22 ,fr:Château de Saint-Lambert
44.4865,3.7337,building,17C,PA48000003,Q3278932,Maison de notable dite Peytavin,1997-03-07 ,fr:Maison Peytavin
44.2108,3.6742,,12C,PA48000016,Q22979463,Ancienne église Notre-Dame de Molezon,2012-03-26 ,
44.517149,3.499647,,,PA00103876,Q22954260,Niche avec statue et lanterne à huile,1945-07-12 ,
44.438298,3.932872,building,14C,PA00125499,Q3280217,Maison dite gothique,1993-02-12 ,fr:Maison gothique (Villefort)
44.568333,3.38,,14C,PA00103823,Q2969047,Domaine de Cougoussac,1986-06-19 ,fr:Château de Cougoussac
44.538451,3.580298,archaeological_site,megalith,PA00103890,Q3034104,Dolmen de la Rouvière,1889 ,fr:Dolmen de la Rouvière
44.855928,3.330225,city_gate,17C,PA00103846,Q22954225,Porte de ville,1963-12-20 ,
44.356111,3.641111,castle,13C,PA00103790,Q2969894,Château du Miral,1984-04-17 ,fr:Château de Miral
44.470833,3.851111,castle,15C,PA00103783,Q2971654,Château du Champ,1965-04-14 ,fr:Château du Champ
44.5165,3.4992,building,17C,PA00103873,Q22954257,,1946-06-12 ,
44.856091,3.330384,,15C,PA00103845,Q3001763,Ancien couvent des Ursulines,1963-02-07 ,fr:Couvent des Ursulines du Malzieu-Ville
44.517931,3.500433,lavoir,18C,PA00103866,Q22954247,Lavoir de la Calquière,1980-07-22 ,
44.5666,3.6167,wayside_cross,17C,PA00103889,Q3003369,Croix en pierre,1926-07-13 ,fr:Croix de Pelouse
44.311497,3.815539,,,PA00103931,Q3107775,Gisement gallo-romain,1980-08-25 ,fr:Gisement gallo-romain de Saint-Maurice-de-Ventalon
44.291787,3.935729,,,PA00103817,Q3562270,Portion de voie romaine,1978-12-06 ,fr:Voie romaine de Coudouloux
44.3938,3.6612,,,PA00103794,Q3305978,Trois menhirs de la colline de Treimes,1941-06-05 ,fr:Menhirs de la colline de Treimes
44.726392,3.854825,,18C,PA00103829,Q3126136,Halles,1942-11-03 ,fr:Halles de Langogne
44.774086,3.754132,wayside_cross,16C,PA00103785,Q3003307,Croix,1926-08-07 ,fr:Croix de Briges
44.568294,3.314583,,,PA00103938,Q22954270,Site mégalithique du plateau de Poujoulet (également sur commune de Marvejols),1990-04-20 ,fr:Site mégalithique du plateau de Poujoulet
44.4326,3.2149,building,15C,PA00103808,Q22954216,,1931-03-17 ,
44.855911,3.331186,building,17C,PA00103843,Q22954223,,1973-02-21 ,
44.551794,3.291757,city_gate,14C,PA00103854,Q3399191,Porte du Thérond,1925-12-23 ,fr:Porte du Thérond
44.8619,3.31844,,14C,PA00103933,Q2957247,Ancienne église,1986-02-10 ,fr:Chapelle de Roc-Saint-Pierre
44.517518,3.500186,building,18C,PA00103868,Q22954251,,1946-04-05 ,
44.334865,3.383752,yes,12C,PA00103917,Q2956575,Chapelle Notre-Dame-de-Cénaret de Saint-Chély-du-Tarn,1987-10-20 ,fr:Chapelle Notre-Dame-de-Cénaret de Saint-Chély-du-Tarn
44.324167,3.593056,building,16C,PA00103819,Q3279693,Hôtel dit Maison de la Congrégation de la Présentation de Bourg Saint-Andéol,1999-01-21 ,fr:Maison de la Congrégation de la Présentation de Bourg Saint-Andéol
